,0
0,Connecticut
1,Delaware
2,Hawaii
3,Idaho
4,Illinois
5,Indiana
6,Iowa
7,Massachusetts
8,Mississippi
9,Missouri
10,Montana
11,Nebraska
12,New Hampshire
13,New Jersey
14,Ohio
15,Oklahoma
16,Rhode Island
17,Tennessee
18,Vermont
19,West Virginia
20,Wisconsin
21,Wyoming
