,0
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kansas
12,Louisiana
13,Maryland
14,Massachusetts
15,Minnesota
16,Mississippi
17,Missouri
18,Montana
19,Nebraska
20,New Hampshire
21,New Jersey
22,North Carolina
23,North Dakota
24,Ohio
25,Oklahoma
26,Pennsylvania
27,Rhode Island
28,South Carolina
29,South Dakota
30,Tennessee
31,Utah
32,Vermont
33,Washington
34,West Virginia
35,Wisconsin
36,Wyoming
